Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Výpočet,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2018,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Adresa hodnoteného objektu,,,,Zadávaš,,,,Merná tepelná strata prechodom tepla ,,,,,,,,,,,,,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,Okres:,Bratislava II,,,Vypočíta sa,,,,Konštrukcia,,,,,Plocha Ai,Ui,Ui . Ai,Faktor bx,bx . Ui . Ai,,,,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,,,,,,,,,DO4,"plastové, izolačné 2-sklo",,,,1.64,1,1.64,1,1.64,1,5.13,0.000513,,22.3,31,486.70000000000005,marec,11.680800000000001,5855.121435295347,4639.748941666667,42030.792,,,,,,,,,,,,,
,,,,,,,,,DO5,"plastové, izolačné 2-sklo",,,,1.576,1,1.576,1,1.576,1,4.986,0.0004986,,33,14,305.2,apríl,7.3248,5855.121435295347,4639.748941666667,18981.648,,,,,,Spotreba podla faktury,,,Spotreba tepla na TV,,,,
,,,,,,,,,DO6,"plastové, izolačné 2-sklo",,,,1.576,1,1.576,1,1.576,1,4.986,0.0004986,,20.533333333333335,195,3212.2,Celkom,,,,,,,,,,,kWh/a,,,kWh,,,
,,,,,,,,,DO7,hliník,,,,2.205,1,2.205,1,2.205,1,5.670000000000001,0.0005670000000000001,,,,,,,,,,,,,,W/m2.a,0.804,,,,,,,
,,,,,,,,,DO8,hliník,,,,3.045,1,3.045,1,3.045,1,6.39,0.000639,,Dennostupne 2016,,,,,,,,,,,,,,kWh/a,,,,,,
,,,,,,,,,DO9,hliník,,,,2.205,1,2.205,1,2.205,1,5.670000000000001,0.0005670000000000001,,mesiac,vyk dni,tem,D,,,,,,,,,,,kwh/a,,Potreba energie na VYK,,,Potreba energie na TV,
,,,,,,,,,DO10,"kovové, izolačné 2-sklo",,,,5.04,1,5.04,1,5.04,1,8.1,0.00081,,september,0,0,0,,,,,,,,,,,,,,kWh,,,kWh
,,,,,,,,,DO11,"kovové, izolačné 2-sklo",,,,2.565,1,2.565,1,2.565,1,6.75,0.000675,,október,30,9.8,347.99999999999994,,,,,,,,,,Potreba energie spolu,,,,,,,
,,,,,,,,,DO12,"plastové, izolačné 2-sklo",,,,7.695000000000001,1,7.695000000000001,1,7.695000000000001,1,9.990000000000002,0.0009990000000000003,,november,30,4.6,435.00000000000006,,,,,,,,,,,kWh,,,,,,
,,,,,,,,,DO13,Sekciová brána,,,,11.52,1,11.52,1,11.52,1,8.64,0.0008640000000000001,,december,31,0.6,554.9,,,,,,,,,,,,,,,,,
